75007	288	249	303	255	287	288	249	185	281	284	296	301
75013	596	540	618	558	595	581	539	490	597	575	580	601
75014	464	404	465	420	405	446	412	348	449	446	453	484
75015	903	801	937	835	876	888	628	674	913	878	895	935
75017	451	412	491	422	363	446	409	332	416	451	475	513
75018	427	394	455	419	458	456	418	361	464	453	478	470
75019	323	287	350	317	336	340	311	281	345	335	367	354
75002	153	125	136	126	133	127	126	114	144	145	129	129
75004	116	115	133	115	123	120	114	97	130	123	124	133
75008	252	246	252	232	199	236	175	189	266	230	257	224
75012	484	445	517	452	402	488	456	409	506	495	493	502
75016	584	571	684	590	563	666	570	433	679	656	662	699
75020	394	366	422	367	273	381	353	297	414	350	410	410
75001	75	60	71	59	73	72	57	56	75	75	65	79 
75005	247	211	251	218	185	224	213	162	203	232	227	251
75006	222	189	218	192	180	199	171	134	183	195	213	204
75010	273	248	292	255	284	267	246	210	280	275	284	283
75011	487	422	491	437	466	443	373	367	511	490	469	487
75003	183	173	204	183	203	181	191	153	208	186	192	189
75009	208	197	220	197	151	206	199	163	223	203	213	235
