number;name;address;dept;cp;ville;latitude;longitude;wgs84
16009;16009 - SAINT DIDIER;32 RUE SAINT DIDIER - 75016 PARIS;75;75016;PARIS;48.8664391603377;2.28574594430153;48.8664391603, 2.2857459443
16032;16032 - EGLISE D AUTEUIL;PLACE DE L'EGLISE D'AUTEUIL - 75016 PARIS;75;75016;PARIS;48.84749841771691;2.26848387135299;48.8474984177, 2.26848387135
17004;17004 - LEGENDRE AVENUE DE CLICHY;130 RUE LEGENDRE - 75017 PARIS;75;75017;PARIS;48.88896161855884;2.322528975094376;48.8889616186, 2.32252897509
17107;17107 - BERTHIER STUART MERRIL;182 BOULEVARD BERTHIER - 75017 PARIS;75;75017;PARIS;48.88591312825616;2.293234151072418;48.8859131283, 2.29323415107
17026;17026 - WAGRAM COURCELLES;105 RUE JOUFFROY D'ABBANS - 75017 PARIS;75;75017;PARIS;48.88185715074461;2.301138378176729;48.8818571507, 2.30113837818
17031;17031 - PORTE DE CHAMPERET;PLACE DE LA PORTE DE CHAMPERET - 75017 PARIS;75;75017;PARIS;48.88561741628322;2.290781411279206;48.8856174163, 2.29078141128
17013;17013 - LEGENDRE;62 RUE LEGENDRE - 75017 PARIS;75;75017;PARIS;48.885437730894544;2.316473835914172;48.8854377309, 2.31647383591
17041;17041 - PORTE DE VILLIERS;51 RUE GUERSANT - 75017 PARIS;75;75017;PARIS;48.88287775178599;2.287667370814871;48.8828777518, 2.28766737081
17101;17101 - ALEXANDRE CHARPENTIER;FACE 3 RUE ALEXANDRE CHARPENTIER - 75017 PARIS;75;75017;PARIS;48.88434112466304;2.288273752637337;48.8843411247, 2.28827375264
17020;17020 - NICARAGUA;49 RUE JOUFFROY D'ABBANS - 75017 PARIS;75;75017;PARIS;48.885069943671056;2.307083216664497;48.8850699437, 2.30708321666
17010;17010 - JONCQUIERE;90 RUE DE LA JONQUIERE - 75017 PARIS;75;75017;PARIS;48.894768624696255;2.318885353974425;48.8947686247, 2.31888535397
17111;17111 - LEMERCIER;109 RUE LEMERCIER - 75017 PARIS;75;75017;PARIS;48.890020496141;2.3175909298999;48.8900204961, 2.3175909299
17045;17045 - PLACE DES TERNES - 5;5 PLACE DES TERNES - 75017 PARIS;75;75017;PARIS;48.878410386482805;2.297831064713626;48.8784103865, 2.29783106471
17104;17104 - GENERAL KOENIG;2 BOULEVARD AURELLE DE PALADINES - 75017 PARIS;75;75017;PARIS;48.881725659667424;2.283682661669767;48.8817256597, 2.28368266167
18036;18036 - FRANCIS DE CROISSET;7 RUE FRANCIS DE CROISSET - 75018 PARIS;75;75018;PARIS;48.899410681516315;2.345920133314917;48.8994106815, 2.34592013331
18111;18111 - FELIZ ZIEM;2 RUE FELIX ZIEM - 75018 PARIS;75;75018;PARIS;48.88949630486821;2.333393658804396;48.8894963049, 2.3333936588
18029;18029 - POTEAU;1 RUE EMILE BLEMONT - 75018 PARIS;75;75018;PARIS;48.89453090447961;2.341541339092219;48.8945309045, 2.34154133909
18032;18032 - PORTE DE CLIGNANCOURT;FACE 59 RUE BELLIARD - 75018 PARIS;75;75018;PARIS;48.89748845974928;2.343996499337776;48.8974884597, 2.34399649934
18010;18010 - MARX DORMOY;81 RUE RIQUET - 75018 PARIS;75;75018;PARIS;48.89013398748709;2.360504244841426;48.8901339875, 2.36050424484
18110;18110 - DEPARTEMENT;FACE 53 RUE DU DEPARTEMENT - 75018 PARIS;75;75018;PARIS;48.886665624668375;2.36151933793529;48.8866656247, 2.36151933794
18043;18043 - BLANCHE;55 BOULEVARD DE CLICHY - 75018 PARIS;75;75018;PARIS;48.88356474485461;2.333418629410461;48.8835647449, 2.33341862941
18023;18023 - POISSONNIERS ORDENER;57 RUE ORDENER - 75018 PARIS;75;75018;PARIS;48.891213890844654;2.351288666219873;48.8912138908, 2.35128866622
18102;18102 - RUE DE LA CHAPELLE;69 BIS RUE DE LA CHAPELLE - 75018 PARIS;75;75018;PARIS;48.89648283189724;2.358845525233447;48.8964828319, 2.35884552523
18009;18009 - LEPINE;12 RUE JEAN FRANCOIS LEPINE - 75018 PARIS;75;75018;PARIS;48.88611466796807;2.356855627529275;48.886114668, 2.35685562753
18016;18016 - FRANCOEUR CAULAINCOURT;1 RUE FRANCOEUR - 75018 PARIS;75;75018;PARIS;48.89002290339246;2.342450012678194;48.8900229034, 2.34245001268
19038;19038 - JOURDAIN;9 RUE LASSUS - 75019 PARIS;75;75019;PARIS;48.8755503947562;2.389038160847546;48.8755503948, 2.38903816085
19118;19118 - BOLIVAR BURNOUF;82 AVENUE SIMON BOLIVAR - 75019 PARIS;75;75019;PARIS;48.87712417766737;2.374276509236151;48.8771241777, 2.37427650924
19001;19001 - OURCQ CRIMEE;243 RUE DE CRIMEE - 75019 PARIS;75;75019;PARIS;48.894104140316266;2.372946088467279;48.8941041403, 2.37294608847
19106;19106 - GARE EMGP;15 RUE MADELEINE VIONNET - 75019 PARIS;75;75019;PARIS;48.90177385172424;2.372628293645748;48.9017738517, 2.37262829365
19115;19115 - PORTE DE LA VILLETTE;1 AVENUE DE LA PORTE DE LA VILLETTE - 75019 PARIS;75;75019;PARIS;48.89849005307383;2.386120008210507;48.8984900531, 2.38612000821
19116;19116 - JAURES VILLETTE;180 BOULEVARD DE LA VILLETTE - 75019 PARIS;75;75019;PARIS;48.881472498481;2.37026248225988;48.8814724985, 2.37026248226
19016;19016 - OURCQ;78 RUE D'HAUTPOUL - 75019 PARIS;75;75019;PARIS;48.88639367943585;2.386541454435452;48.8863936794, 2.38654145444
19033;19033 - CAMBRAI;30 RUE DE CAMBRAI - 75019 PARIS;75;75019;PARIS;48.89594736851349;2.381133802246315;48.8959473685, 2.38113380225
19003;19003 - QUAI DE SEINE;3 QUAI DE LA SEINE - 75019 PARIS;75;75019;PARIS;48.884316180647176;2.369829579572023;48.8843161806, 2.36982957957
19021;19021 - MAIRIE DU 19 EME;4 RUE ARMAND CARREL - 75019 PARIS;75;75019;PARIS;48.88259146668893;2.381220610289335;48.8825914667, 2.38122061029
19004;19004 - QUAI DE LA LOIRE;4 QUAI DE LA LOIRE - 75019 PARIS;75;75019;PARIS;48.88339733854529;2.371074522980134;48.8833973385, 2.37107452298
19045;19045 - CANAL SAINT DENIS - BD MACDONALD;145 BOULEVARD MCDONALD - 75019 PARIS;75;75019;PARIS;48.8988301928079;2.37933010909776;48.8988301928, 2.3793301091
19034;19034 - PANTIN;20 AVENUE DE LA PORTE DE PANTIN - 75019 PARIS;75;75019;PARIS;48.89034195521685;2.397813642189543;48.8903419552, 2.39781364219
20017;20017 - RUE SAINT BLAISE;69 RUE SAINT BLAISE - 75020 PARIS;75;75020;PARIS;48.8569749400317;2.408842457406961;48.85697494, 2.40884245741
20133;20133 - RASSELINS;2 RUE DES RASSELINS - 75020 PARIS;75;75020;PARIS;48.85352868594103;2.409615362775532;48.8535286859, 2.40961536278
20016;20016 - PYRENEES VITRUVE;114 BIS RUE DES PYRENEES - 75020 PARIS;75;75020;PARIS;48.85712940035504;2.404425625176959;48.8571294004, 2.40442562518
20018;20018 - HARPIGNIES;2 RUE HARPIGNIES- 75020 PARIS;75;75020;PARIS;48.85862166935013;2.409942553877677;48.8586216694, 2.40994255388
20047;20047 - COURS DE VINCENNES BD DAVOUT;107 COURS DE VINCENNES - 75020 PARIS;75;75020;PARIS;48.8473310531154;2.4103900081973;48.8473310531, 2.4103900082
20121;20121 - MENILMONTANT BOYER;27 RUE BOYER - 75020 PARIS;75;75020;PARIS;48.868910127448686;2.392020489286297;48.8689101274, 2.39202048929
20117;20117 - SAINT FARGEAU MORTIER;72 RUE SAINT-FARGEAU - 75020 PARIS;75;75020;PARIS;48.872747269036246;2.408203454302088;48.872747269, 2.4082034543
20021;20021 - PRAIRIE L INDRE;2 RUE DE L'INDRE - 75020 PARIS;75;75020;PARIS;48.86272646274573;2.403351311000777;48.8627264627, 2.403351311
20106;20106 - MAIRIE DU 20ÈME;44-46 AVENUE GAMBETTA - 75020 PARIS;75;75020;PARIS;48.86535224200028;2.398946448081101;48.865352242, 2.39894644808
20109;20109 - SURMELIN HAXO;2 RUE HAXO - 75020 PARIS;75;75020;PARIS;48.8694370761222;2.40539657537972;48.8694370761, 2.40539657538
20041;20041 - BELLEVILLE;116 BD DE BELLEVILLE - 75020 PARIS;75;75020;PARIS;48.87119943139012;2.37799433828966;48.8711994314, 2.37799433829
20022;20022 - PORTE DE BAGNOLET;1 RUE GEO CHAVEZ - 75020 PARIS;75;75020;PARIS;48.86422186786416;2.408205411854939;48.8642218679, 2.40820541185
20108;20108 - HOSPICE DEBROUSSE;142 RUE DE BAGNOLET - 75020 PARIS;75;75020;PARIS;48.8615729587877;2.40568863716159;48.8615729588, 2.40568863716
20020;20020 - PYRENEES RENOUVIER;183 RUE DES PYRENEES - 75020 PARIS;75;75020;PARIS;48.86095933229224;2.400421852042113;48.8609593323, 2.40042185204
20012;20012 - BUZENVAL VIGNOLES;90 RUE BUZENVAL - 75020 PARIS;75;75020;PARIS;48.85392327608324;2.400038749270361;48.8539232761, 2.40003874927
20118;20118 - ORTEAUX MOURAUD;100 RUE DES ORTEAUX - 75020 PARIS;75;75020;PARIS;48.85558642847872;2.408762907764669;48.8555864285, 2.40876290776
21015;21015 - NATIONALE (BOULOGNE-BILLANCOURT);39 RUE NATIONALE - 92100 BOULOGNE-BILLANCOURT;92;92100;BOULOGNE-BILLANCOURT;48.827600424128306;2.241835191324587;48.8276004241, 2.24183519132
1022;01022 - RUE DE LA PAIX;37 RUE CASANOVA - 75001 PARIS;75;75001;PARIS;48.8682170167744;2.330493511399174;48.8682170168, 2.3304935114
1026;01026 - COLONEL DRIANT;PLACE DU LIEUTENANT HENRI KARCHER - 75001 PARIS;75;75001;PARIS;48.86343050194121;2.340169767017624;48.8634305019, 2.34016976702
1002;01002 - PLACE DU CHATELET;14 AVENUE VICTORIA - 75001 PARIS;75;75001;PARIS;48.857940092963034;2.347010058114489;48.857940093, 2.34701005811
1004;01004 - MARGUERITE DE NAVARRE;12 RUE DES HALLES - 75001 PARIS;75;75001;PARIS;48.859896314441485;2.346756667548724;48.8598963144, 2.34675666755
